"2.388,5.282,7.482,4.124,-2.41,-6.484","2.572,4.728,7.234,3.776,-4.854,-9.3","2.53,4.67,6.958,0.782,-6.744,-12.136","2.412,5.028,6.846,-4.15,-9.21,-13.7","2.036,5.474,6.348,-8.026,-10.846,-12.614","1.33,5.582,5.618,-13.096,-9.676,-9.844","1.112,5.736,5.572,-16.61,-6.162,-10.142","1.642,6.206,6.028,-14.3,-5.65,-12.446","2.414,6.832,6.668,-12.26,-6.86,-11.49","2.856,7.23,6.93,-11.204,-6.944,-10.402","2.926,7.086,6.652,-8.544,-6.242,-11.228","2.842,6.682,6.104,-0.77,-11.758,-11.702","2.85,6.574,5.66,-20.842,-10.27,-5.632","2.944,7.15,5.232,-6.2,0.442,-9.294","3.092,7.978,4.74,-7.934,2.372,-11.814","3.368,8.794,4.412,1.534,1.382,-9.344","3.802,9.0,4.372,10.036,-1.152,-5.624","4.924,9.506,4.424,8.794,-3.618,-2.376","6.202,10.8,4.586,3.494,-3.13,-0.916","7.42,12.362,4.022,-0.44,-1.788,0.888","8.704,15.518,3.582,-2.852,-1.636,3.398","9.372,20.334,1.324,-1.756,-2.372,3.368","8.19,27.376,-6.812,0.306,-2.3,2.664","2.812,37.56,-20.934,0.594,-1.456,2.726","-5.46,38.726,-27.498,-0.882,-1.148,3.214","-5.332,38.606,-23.886,-3.022,-1.068,3.336","6.654,38.678,-26.454,-4.294,-0.844,3.14","21.416,38.4,-38.786,-2.826,-0.672,2.912","38.716,24.286,-39.226,-0.544,-0.794,2.478","39.226,-12.548,-31.762,1.246,-1.192,2.384","39.226,-39.226,-23.468,2.568,-1.378,2.236","38.172,-39.226,-26.614,2.844,-1.306,1.968","25.232,-39.226,-11.204,2.488,-1.11,2.086","10.28,-39.152,7.442,1.43,-0.874,2.342","1.932,-18.202,11.202,-0.266,-0.63,2.492","-5.34,23.528,-16.502,-2.044,-0.468,2.698","36.202,-17.214,21.806,-3.554,-0.316,2.842","39.226,20.094,1.926,-4.734,-0.07,2.922","37.268,-24.018,28.69,-5.062,-0.034,2.978","23.192,-39.226,-16.734,-4.15,-0.234,2.888","-6.06,-39.226,-21.55,-2.468,-0.474,2.754","-3.176,-27.264,-10.78,-0.934,-0.72,2.764","13.244,-3.464,10.872,0.234,-0.936,2.924","13.782,-3.968,16.034,0.914,-1.032,2.978","8.384,-23.99,17.324,0.714,-0.828,2.874","3.25,-27.31,11.076,-0.094,-0.32,2.678","8.026,-24.748,13.1,-1.338,0.238,2.514","10.932,-21.116,18.846,-2.604,0.626,2.394","6.798,-13.122,21.292,-3.498,0.66,2.216","2.918,-4.998,20.028,-3.83,0.398,1.892"
"11.626,5.66,6.886,3.44,-3.008,-10.08","11.73,5.536,7.24,1.914,-4.624,-13.346","12.124,4.936,7.132,-2.65,-5.66,-14.744","12.366,4.84,6.108,-4.588,-6.314,-14.698","11.932,4.722,5.268,-7.502,-8.054,-13.068","11.674,4.382,5.218,-8.398,-8.508,-11.34","12.41,3.792,6.168,-7.242,-9.332,-10.866","12.674,3.956,5.836,-8.66,-9.962,-9.392","12.118,5.348,5.748,-10.094,-8.144,-10.354","11.362,6.392,6.41,-8.722,-2.714,-13.49","11.472,5.558,6.566,-7.824,3.52,-10.222","11.97,4.338,6.098,-9.372,6.658,-7.038","12.14,4.882,5.728,3.094,6.42,-5.386","12.614,6.754,6.228,2.674,2.972,-1.94","14.192,7.574,6.68,1.596,2.51,-1.43","15.664,6.942,6.176,2.094,3.806,-1.87","16.178,6.59,6.38,1.432,4.228,0.07","15.768,7.694,7.08,1.334,3.482,1.128","15.292,9.834,8.096,-0.61,2.97,1.702","15.744,11.978,8.68,-3.008,3.082,2.76","15.936,15.866,9.27,-4.066,3.42,3.052","14.428,23.236,9.12,-4.408,3.496,2.808","10.744,31.294,2.948,-4.162,3.21,2.46","3.476,38.726,-7.37,-3.676,2.578,2.04","-4.6,38.726,-9.076,-3.558,1.918,1.682","4.628,38.6,-8.972,-4.362,1.72,1.752","22.854,38.714,-10.726,-5.484,1.91,2.262","27.388,37.474,-13.058,-6.336,2.178,2.872","27.172,15.38,-8.152,-6.676,2.378,3.426","29.028,-8.578,0.866,-6.54,2.394,3.972","17.138,-19.354,3.128,-5.622,2.352,4.402","13.422,-27.98,26.914,-4.268,2.164,4.548","31.064,-9.128,38.046,-2.994,1.788,4.39","39.226,23.09,31.652,-2.18,1.396,3.952","39.226,1.78,16.412,-2.422,1.146,3.394","37.432,-39.226,20.814,-3.308,1.192,3.07","4.668,-33.282,-27.682,-4.44,1.356,3.186","-26.184,-5.92,-18.184,-5.288,1.402,3.592","-4.788,31.214,-15.398,-5.348,1.28,3.98","11.662,20.066,-11.538,-4.768,0.89,4.204","13.44,-11.756,-13.096,-3.848,0.374,4.336","1.336,-9.538,-15.816,-2.942,-0.066,4.344","-0.398,-1.08,-7.894,-2.664,-0.442,4.168","5.828,-3.86,-2.586,-2.874,-0.726,3.794","6.742,-9.548,-3.978,-3.302,-0.92,3.27","6.318,-12.96,-7.21,-3.53,-1.088,2.896","4.508,-10.724,-10.922,-3.666,-1.28,2.694","-1.222,-8.412,-11.012,-3.884,-1.628,2.524","-5.482,-6.024,-7.322,-4.104,-2.24,2.58","-3.572,-3.68,-4.338,-4.35,-2.85,2.728"
"0.686,-2.808,6.83,2.858,-1.848,-1.164","1.556,-2.906,6.902,4.484,-3.006,-3.53","2.07,-2.352,6.936,4.848,-4.716,-7.138","1.79,-1.444,7.042,2.986,-5.87,-10.16","1.226,-0.498,7.974,-0.772,-7.89,-11.77","1.49,0.002,8.352,-4.892,-9.976,-12.106","1.872,0.846,8.18,-9.39,-9.398,-10.988","1.448,1.622,7.46,-11.102,-6.342,-8.834","1.414,1.818,6.69,-10.118,-6.91,-9.594","1.674,2.522,6.402,-9.186,-8.344,-9.592","1.95,3.13,5.996,-6.268,-9.1,-8.186","2.134,3.974,5.566,-4.384,-10.164,-7.408","2.228,5.108,5.666,-8.074,-9.394,-7.056","2.636,5.9,5.4,-12.014,-5.686,-7.298","2.924,5.916,4.8,-11.418,-1.248,-6.082","3.08,5.718,4.29,-5.626,0.18,-6.398","3.296,5.774,3.794,5.82,-1.21,-8.758","3.43,6.716,3.0,6.884,-3.128,-6.516","3.208,7.744,2.646,4.07,-3.91,-4.018","3.644,8.714,2.356,2.088,-2.882,-3.552","4.818,10.04,3.39,0.248,-1.268,-1.828","6.654,12.328,4.386,0.606,-0.298,0.418","8.938,15.65,3.954,2.216,-0.278,1.702","9.794,21.494,-1.346,2.2,-0.34,2.386","7.194,32.29,-16.386,1.802,0.144,2.874","0.758,38.726,-26.244,1.052,0.722,3.052","-3.424,38.726,-15.698,0.388,0.996,3.234","5.498,38.582,-23.096,0.448,1.072,3.17","15.518,38.726,-31.284,1.0,0.998,2.918","29.914,33.298,-27.932,1.432,0.824,2.86","39.226,6.212,-24.22,1.674,0.538,2.914","39.226,-21.578,-19.932,1.554,0.174,2.922","33.852,-37.228,-20.76,1.112,-0.19,3.048","20.322,-39.226,-6.714,0.452,-0.398,3.214","5.248,-39.068,-0.068,-0.286,-0.418,3.196","2.466,-24.622,-6.404,-0.93,-0.41,3.08","18.398,-1.81,29.77,-1.328,-0.458,2.918","39.226,29.854,28.674,-1.526,-0.59,2.738","39.226,3.272,-7.148,-1.494,-0.748,2.538","31.734,-30.468,-3.018,-1.498,-0.9,2.336","8.254,-28.268,-21.626,-1.552,-1.1,2.284","6.148,-15.19,-6.566,-1.532,-1.178,2.252","12.048,2.888,1.832,-1.602,-1.17,2.094","10.452,6.968,14.332,-1.88,-1.238,2.088","14.102,-14.922,21.772,-2.048,-1.316,2.106","10.9,-29.696,17.882,-2.178,-1.376,1.974","2.632,-27.932,13.004,-2.366,-1.462,1.806","1.732,-22.234,13.312,-2.494,-1.64,1.666","5.09,-14.362,14.128,-2.598,-1.868,1.62","4.788,-9.14,13.852,-2.828,-2.03,1.564"
"3.964,0.986,7.736,4.776,-3.0,-10.254","3.878,2.486,8.202,3.89,-4.652,-11.776","3.224,2.394,8.858,0.758,-7.024,-11.538","2.956,1.782,8.248,-3.768,-9.812,-10.27","3.13,1.908,7.38,-9.27,-10.108,-8.688","3.442,4.186,8.044,-9.174,-8.07,-8.668","4.002,5.624,8.838,-9.436,-7.15,-10.068","4.574,5.372,8.584,-8.194,-6.402,-8.828","3.972,5.802,7.008,-6.43,-6.15,-7.578","3.318,6.406,5.558,-5.636,-5.568,-6.832","2.912,6.692,5.352,-7.262,-1.222,-5.146","2.23,7.57,5.252,-5.582,1.36,-3.692","2.184,9.14,4.682,1.59,0.996,-3.168","2.512,10.528,5.188,13.386,-0.386,-3.628","2.87,11.392,5.788,11.198,-2.514,-2.262","3.446,11.588,6.062,6.05,-2.192,0.238","4.316,11.464,6.028,1.46,-0.542,2.086","5.294,11.566,5.686,0.566,0.91,4.17","5.74,12.57,4.282,4.028,1.608,4.594","5.53,14.662,1.598,4.018,1.364,3.424","4.336,19.322,-2.396,1.462,0.918,3.126","1.774,29.892,-10.014,-0.1,0.686,3.406","-2.482,38.726,-18.154,-2.362,0.392,3.302","-4.816,38.552,-13.896,-2.292,0.566,3.662","-0.624,31.936,-12.794,-0.79,0.914,3.826","3.978,36.006,-29.102,0.652,1.018,3.894","12.446,37.55,-29.688,1.812,0.802,3.68","24.716,15.278,-24.08,1.848,0.206,2.962","37.614,-12.876,-15.038,1.416,-0.71,2.24","38.37,-20.814,-12.924,0.446,-1.356,1.746","28.124,-32.048,-0.138,-0.786,-1.37,1.658","22.942,-39.226,16.76,-1.53,-1.074,1.818","16.078,-35.132,14.436,-2.042,-0.748,2.09","22.338,-14.428,25.366,-2.556,-0.494,2.436","39.226,6.876,30.678,-2.942,-0.404,2.756","35.12,-4.218,3.056,-2.926,-0.574,3.114","7.398,-29.04,-14.714,-2.51,-0.884,3.452","-12.318,-28.41,-29.752,-2.13,-1.274,3.614","-5.134,-4.052,-7.722,-2.036,-1.574,3.662","8.142,22.88,7.48,-2.182,-1.54,3.504","9.204,-3.344,18.534,-2.616,-1.282,3.208","10.128,-36.778,21.572,-3.17,-1.024,3.024","8.136,-31.634,10.926,-3.686,-1.058,2.954","0.41,-13.454,9.16,-3.954,-1.492,2.84","-6.222,-1.184,10.07,-3.638,-2.08,2.73","-11.126,6.774,10.792,-2.992,-2.588,2.64","-10.232,1.108,12.334,-2.42,-2.812,2.406","-1.638,-8.17,11.164,-2.19,-2.664,2.048","3.588,-11.408,5.934,-2.198,-2.42,1.666","2.864,-9.058,2.43,-2.288,-2.224,1.332"
"1.122,5.26,5.998,1.734,-1.866,-3.598","0.788,6.596,5.066,2.484,-2.074,-5.978","0.508,7.46,4.89,3.668,-3.826,-9.104","0.8,6.116,5.474,3.184,-6.868,-12.508","1.706,4.506,5.28,-1.916,-8.578,-14.52","2.196,5.226,4.946,-7.898,-8.5,-14.724","2.292,6.824,5.554,-8.722,-8.578,-13.934","2.48,7.544,5.846,-12.314,-8.534,-8.572","2.914,7.326,5.94,-15.876,-6.518,-6.67","3.452,7.358,6.198,-11.728,-7.388,-10.23","3.802,8.012,6.448,-7.814,-9.62,-10.54","4.192,8.474,6.462,-9.198,-9.05,-9.208","4.62,8.516,6.232,-0.626,-8.598,-12.474","4.892,8.52,5.788,-18.514,-8.412,-7.07","5.36,8.466,5.476,-11.79,2.224,-6.074","6.136,8.47,5.636,-6.92,2.908,-10.492","7.09,8.552,5.126,-0.652,-0.486,-8.216","8.248,9.25,5.122,5.404,-2.948,-2.932","9.128,10.956,5.896,6.694,-5.084,-2.65","10.066,12.592,6.416,4.998,-3.078,-1.322","11.128,14.02,6.276,3.484,-0.84,0.37","12.562,15.698,5.37,2.438,-0.448,2.424","14.23,17.534,4.15,3.138,-0.794,4.368","14.73,20.904,1.576,3.336,-0.768,4.74","12.128,26.612,-5.894,3.118,-0.136,4.482","5.78,36.43,-21.03,3.066,0.384,4.626","-0.198,38.726,-28.872,3.498,0.626,4.908","3.826,38.672,-13.01,3.598,0.838,4.95","26.104,38.656,-17.274,3.658,1.122,4.514","39.226,37.022,-27.488,3.168,1.282,3.92","39.226,20.91,-37.132,2.18,1.198,3.504","39.226,-21.172,-36.036,1.004,0.874,3.378","39.226,-39.226,-16.544,0.416,0.568,3.44","32.6,-39.226,-19.478,0.464,0.382,3.64","10.302,-39.22,-3.308,0.72,0.116,3.958","0.33,-29.43,24.668,0.888,-0.192,4.168","-1.268,24.802,-0.816,0.626,-0.28,4.122","27.776,0.056,24.802,-0.052,-0.172,4.086","39.226,-6.314,4.542,-0.724,-0.1,4.014","31.448,-28.884,-4.928,-1.222,-0.102,3.786","6.874,-39.226,-21.472,-1.48,-0.218,3.608","-7.492,-36.154,-21.074,-1.546,-0.452,3.516","-6.354,-12.768,-6.822,-1.64,-0.732,3.564","18.782,-1.728,10.202,-1.572,-0.902,3.72","20.892,-13.438,19.616,-1.558,-0.856,3.64","9.378,-27.67,18.064,-1.9,-0.69,3.486","3.71,-27.51,13.532,-2.262,-0.662,3.366","6.744,-16.984,13.24,-2.496,-0.812,3.23","10.55,-12.066,14.68,-2.668,-0.99,2.876","9.844,-12.294,14.706,-2.91,-1.14,2.488"
"0.882,4.004,6.05,1.186,-2.002,-2.358","1.186,5.122,6.392,2.238,-2.576,-4.316","1.052,6.358,6.27,4.27,-5.174,-6.952","0.598,6.08,6.122,6.018,-7.132,-9.502","-0.096,5.786,5.892,3.55,-7.936,-11.808","-0.342,6.104,5.008,-2.064,-8.872,-11.814","0.01,6.344,4.944,-4.492,-10.222,-11.254","0.362,5.668,5.376,-8.046,-10.728,-10.358","0.494,3.85,4.95,-7.746,-9.542,-9.724","0.318,2.968,4.47,-5.93,-9.616,-10.318","0.01,4.312,4.566,-7.39,-9.298,-9.99","0.29,6.336,5.536,-8.624,-8.992,-10.356","0.592,7.382,5.666,-0.628,-7.17,-12.032","0.778,6.966,4.974,-13.38,-1.62,-4.474","0.74,6.316,4.11,-5.39,4.906,-8.354","0.866,6.234,3.852,3.864,3.14,-9.778","1.506,5.764,4.316,5.026,1.036,-2.47","1.95,5.09,3.93,8.326,-1.968,-2.168","2.69,5.438,3.878,9.822,-0.546,-3.316","3.996,6.886,4.738,7.244,1.498,-0.096","5.608,8.324,5.122,4.038,1.682,2.586","7.47,10.102,5.04,0.036,1.208,4.422","8.856,13.46,4.274,-1.912,0.982,4.466","8.71,20.042,1.52,-2.126,1.392,4.168","5.554,30.638,-7.982,-2.086,1.506,3.848","-2.7,38.726,-23.65,-2.362,1.23,3.476","-13.046,38.726,-21.742,-3.296,0.982,3.36","-4.478,38.556,-9.82,-4.022,0.868,3.72","9.648,38.726,-15.064,-2.946,0.902,4.002","17.138,38.726,-15.506,-1.114,1.026,3.96","19.89,33.152,-13.348,-0.5,1.254,4.058","27.604,1.088,-2.694,-0.664,1.51,3.888","29.514,-19.922,-1.004,-1.41,1.632,3.534","16.908,-27.94,4.95,-2.552,1.484,3.458","12.266,-36.638,28.52,-3.656,1.24,3.516","20.348,-22.562,35.338,-4.54,1.054,3.698","30.892,26.064,-6.592,-5.098,0.952,3.998","39.226,-21.846,28.136,-5.324,0.836,4.228","35.128,-26.272,14.698,-5.046,0.556,4.354","3.398,-18.55,-4.142,-4.22,-0.01,4.394","-13.09,-20.406,-13.488,-2.928,-0.638,4.318","-19.044,14.496,-28.38,-1.714,-1.112,4.064","2.522,14.322,-7.358,-1.07,-1.38,3.702","14.356,-13.044,15.308,-1.156,-1.348,3.302","-1.58,-12.31,11.976,-1.97,-1.12,2.954","-2.594,-3.562,8.244,-3.06,-0.862,2.862","3.382,-4.57,5.7,-3.96,-0.736,2.884","8.756,-9.118,4.652,-4.456,-0.872,2.712","5.866,-9.142,4.978,-4.314,-1.19,2.492","0.038,-4.538,5.404,-3.918,-1.412,2.372"
"8.6,3.368,4.312,2.68,-4.962,-6.318","9.08,2.298,4.528,0.408,-7.478,-9.63","9.04,4.902,5.814,-4.456,-8.924,-12.328","8.526,8.684,6.648,-8.708,-8.49,-13.618","8.766,9.28,6.352,-12.068,-7.444,-13.846","9.454,8.062,5.62,-15.018,-5.202,-12.65","10.704,7.17,5.546,-15.864,-2.626,-12.326","12.332,7.424,4.978,-17.66,-2.706,-13.002","13.15,8.828,3.712,-19.882,-2.074,-11.594","13.228,9.348,2.396,-21.718,-1.262,-10.304","12.914,8.208,1.546,-20.416,-0.918,-10.922","12.158,7.952,1.056,-3.582,-0.65,-14.156","11.92,9.312,0.84,-13.624,-2.706,-11.594","12.38,11.176,1.498,-10.058,1.518,-10.708","12.546,11.888,1.394,-7.594,3.102,-11.704","13.348,10.546,1.236,-8.75,3.812,-5.544","14.692,8.372,1.228,-5.26,1.572,-0.936","15.256,7.908,0.574,-2.082,-0.378,0.932","15.606,8.708,-1.274,0.146,-0.418,-1.326","15.83,10.49,-2.656,4.684,0.186,-2.842","15.622,12.006,-5.054,7.012,-0.898,-2.75","15.428,12.608,-9.0,9.834,-1.954,-2.48","13.792,17.76,-12.968,8.802,-1.898,-1.926","9.936,27.81,-19.232,7.282,-1.53,-0.796","4.758,35.34,-24.28,5.464,-1.31,0.766","4.354,38.206,-21.18,4.866,-1.09,2.648","19.616,38.726,-21.382,5.184,-0.668,3.484","39.226,38.71,-19.656,5.364,-0.156,4.112","39.226,29.016,-23.812,4.694,0.076,4.732","39.226,-1.226,-19.092,2.042,0.294,5.252","39.226,-18.776,-17.322,-1.476,0.48,5.524","39.226,-22.094,-17.028,-3.678,0.356,5.44","39.226,-18.306,-13.002,-3.632,-0.318,4.57","39.226,-4.092,-14.294,-1.538,-1.386,3.63","39.226,17.77,-14.468,1.462,-2.274,3.27","37.732,36.604,-38.192,3.054,-2.448,3.314","39.226,-20.678,-2.564,2.908,-1.988,3.526","39.226,-17.954,3.9,1.97,-1.06,3.59","38.778,10.43,-2.402,0.932,-0.15,3.2","24.428,-15.708,14.366,0.106,0.17,2.786","-8.926,-25.968,-14.47,-0.38,-0.138,2.784","-2.582,-8.972,-11.492,-1.008,-0.718,2.73","15.838,13.932,-12.524,-1.77,-1.272,2.754","20.852,6.676,-14.926,-2.274,-1.33,2.848","10.764,-14.594,-10.184,-2.566,-0.786,2.706","5.428,-9.318,-5.222,-2.408,-0.544,2.798","8.716,-5.7,9.634,-1.724,-0.78,3.138","8.562,-8.782,17.212,-0.714,-0.978,3.114","5.876,-18.384,15.888,0.312,-1.218,2.948","7.45,-21.414,14.254,1.014,-1.464,2.996"
"1.818,2.138,9.998,2.644,-3.976,-11.07","1.076,1.702,9.568,0.942,-6.698,-11.83","0.9,2.264,9.536,-3.252,-7.034,-12.742","0.824,4.212,10.148,-6.526,-7.556,-11.352","0.644,5.522,10.8,-12.546,-8.7,-7.876","0.29,5.466,10.566,-16.086,-6.984,-7.426","-0.15,5.218,9.87,-15.266,-4.182,-9.476","-0.276,5.292,9.304,-14.126,-3.59,-9.168","0.0,4.964,8.906,-13.716,-3.454,-8.684","0.344,4.788,8.596,-10.022,-3.924,-10.024","0.216,5.614,8.572,-2.254,-4.694,-7.842","-0.08,6.468,8.692,-19.21,-6.282,-4.594","-0.11,6.642,8.424,-6.102,-0.206,-6.112","-0.324,6.17,7.808,-7.494,1.852,-7.998","-0.882,5.97,7.26,1.006,2.44,-8.366","-1.142,6.562,7.078,5.008,-2.086,-6.512","-0.818,7.364,7.15,5.268,-5.176,-3.588","-0.054,8.302,7.47,3.972,-4.206,-1.508","1.072,9.876,7.726,1.262,-2.756,-0.208","2.376,12.232,7.166,-0.832,-2.524,1.716","3.488,16.39,4.44,-1.588,-2.524,2.598","2.138,24.838,-4.406,0.002,-2.692,1.842","-2.334,35.644,-15.436,3.174,-2.688,0.446","-13.776,38.726,-17.71,5.692,-2.92,0.272","-14.194,37.71,-16.596,4.654,-3.256,1.166","6.762,28.962,-17.582,1.154,-2.964,1.644","23.766,25.372,-24.254,-2.818,-1.826,1.896","28.54,16.162,-39.06,-6.078,-1.048,2.258","34.97,-14.432,-28.744,-6.834,-1.078,2.134","39.226,-31.356,-14.164,-5.032,-1.274,1.776","39.226,-36.758,-13.804,-3.01,-1.666,1.456","35.898,-39.226,7.684,-1.53,-2.126,1.332","22.616,-39.224,13.524,-0.59,-2.446,1.338","10.684,-16.68,-0.46,-0.586,-2.5,1.322","10.596,16.214,-21.106,-0.434,-2.398,1.23","28.54,-18.414,15.626,0.18,-2.216,0.952","36.892,27.692,-22.738,0.938,-2.064,0.62","32.75,14.286,15.052,1.214,-1.902,0.556","14.28,9.826,-30.32,0.598,-1.624,0.704","-9.072,8.634,-26.884,-0.856,-1.386,0.836","-4.902,2.236,-23.166,-2.556,-1.224,0.938","14.29,-6.938,-1.076,-3.7,-1.088,1.08","20.28,-18.45,8.706,-3.742,-0.918,1.138","14.79,-23.168,9.612,-3.038,-0.698,1.066","9.674,-23.668,8.332,-2.256,-0.532,1.02","9.92,-25.506,5.48,-1.646,-0.446,1.062","10.194,-29.344,6.008,-1.08,-0.392,1.004","9.042,-29.928,8.5,-0.698,-0.356,0.778","9.142,-19.084,13.282,-0.412,-0.36,0.558","11.14,-2.482,20.268,-0.38,-0.378,0.376"
"-0.55,8.004,4.93,0.586,-6.238,-10.866","-0.556,8.448,5.202,-2.0,-7.058,-12.504","-0.596,8.802,5.354,-4.952,-9.192,-12.22","-0.742,8.942,5.248,-9.414,-10.52,-10.508","-0.882,9.238,4.908,-13.582,-9.196,-8.962","-0.876,9.008,4.704,-15.314,-6.294,-8.158","-0.842,8.408,4.138,-17.132,-4.96,-8.534","-0.888,7.834,3.654,-17.262,-3.88,-7.674","-0.708,8.572,4.004,-16.048,-3.998,-8.372","-0.18,9.804,4.98,-7.656,-4.222,-12.742","0.596,9.902,5.224,-7.622,-4.428,-9.44","1.064,9.548,4.778,-22.164,-8.218,-7.13","1.042,9.908,4.394,-10.77,-3.006,-6.596","0.792,11.08,4.192,-11.554,1.328,-8.214","0.606,12.162,4.108,-5.684,2.582,-10.094","0.662,12.662,3.524,-0.768,-0.316,-9.204","1.13,12.934,2.438,1.518,-4.002,-5.868","1.576,14.152,1.2,2.256,-5.19,-2.98","1.632,16.822,-0.544,4.158,-3.802,-3.13","0.998,21.072,-4.206,5.072,-3.018,-3.314","-1.368,27.978,-10.926,5.134,-3.174,-2.158","-5.8,37.56,-19.35,4.7,-3.64,-0.702","-7.676,38.726,-21.818,4.374,-3.674,0.24","-0.382,38.62,-18.708,3.17,-3.06,0.83","11.406,38.68,-15.218,1.744,-2.514,1.388","17.806,38.7,-21.768,0.204,-2.244,1.684","24.352,28.986,-34.222,-0.856,-1.884,2.018","38.034,2.008,-33.104,-0.928,-1.446,2.01","39.226,-18.124,-23.238,-0.288,-1.112,1.592","39.226,-31.216,-29.712,1.152,-0.858,0.938","39.226,-39.226,-23.272,2.432,-0.85,0.512","39.226,-39.226,-0.83,3.77,-1.014,0.552","32.78,-37.27,6.592,4.954,-1.148,0.664","11.078,0.228,-4.802,5.35,-0.976,0.824","17.496,13.758,-18.414,4.558,-0.506,1.212","22.05,-8.4,9.708,3.012,0.076,1.588","35.592,19.296,-23.31,1.006,0.57,1.874","39.226,-5.674,7.728,-0.79,0.858,2.112","33.75,-9.596,-24.078,-1.62,0.836,2.156","9.322,-3.554,-19.366,-1.438,0.726,2.118","1.672,-9.704,-27.238,-0.736,0.556,2.144","13.484,-25.022,-8.684,0.186,0.388,2.114","26.416,-33.924,2.008,0.938,0.33,2.086","27.062,-33.408,8.674,1.346,0.332,2.166","18.612,-29.884,11.408,1.492,0.404,2.306","13.734,-29.102,17.158,1.334,0.576,2.312","14.656,-28.984,19.052,0.838,0.746,2.238","16.958,-26.65,23.016,0.23,0.86,2.172","16.256,-22.334,23.662,-0.426,0.882,2.036","12.778,-19.812,23.158,-1.036,0.836,1.886"
"7.59,7.732,8.498,3.852,-4.966,-6.258","7.694,8.006,8.558,2.662,-6.18,-9.162","8.338,7.764,8.056,-2.318,-7.028,-11.758","8.792,7.508,7.458,-7.216,-7.892,-12.756","9.206,7.936,7.78,-9.046,-8.742,-12.798","9.75,7.738,8.632,-11.284,-7.522,-11.404","10.134,7.26,8.332,-12.264,-5.136,-11.32","9.728,7.66,7.908,-14.256,-4.628,-11.634","8.752,8.208,7.25,-16.39,-3.596,-11.84","8.302,8.244,6.732,-16.602,-2.008,-11.834","8.472,8.392,6.452,-11.11,-0.484,-12.81","9.006,8.26,6.002,-2.254,-1.808,-12.684","9.534,8.12,5.034,-8.788,-3.008,-10.416","10.356,7.438,4.73,-8.584,1.02,-9.996","11.982,6.298,5.138,-6.916,2.766,-8.544","14.122,5.656,5.608,-5.142,1.552,-8.448","16.596,5.108,5.848,-5.924,1.768,-5.122","19.272,4.582,6.11,-5.6,0.596,-3.024","21.214,4.98,6.422,-4.292,-0.524,-0.864","21.862,6.474,6.948,-2.79,-0.224,-0.23","21.39,8.894,6.22,-2.964,0.348,-0.352","19.5,12.21,3.72,-2.524,0.338,0.46","15.21,17.012,-2.49,-1.546,0.14,1.236","9.366,23.976,-10.894,-0.288,0.264,1.438","6.17,32.738,-16.202,0.25,0.468,1.518","10.13,38.726,-18.598,0.53,0.412,1.89","18.202,38.726,-15.908,0.608,0.19,2.194","27.512,38.596,-18.096,0.432,-0.13,2.228","37.86,33.448,-25.53,0.354,-0.68,1.96","39.226,6.798,-21.25,-0.116,-1.136,1.832","39.226,-8.478,-10.67,-0.818,-1.446,1.814","39.226,-12.446,-3.7,-1.154,-1.64,1.666","39.226,-5.718,4.412,-1.188,-1.8,1.526","39.226,5.376,1.436,-0.74,-1.938,1.446","39.226,10.186,-19.786,-0.16,-2.116,1.46","39.226,11.226,-28.234,0.35,-2.356,1.568","39.226,-5.454,-1.592,0.422,-2.518,1.666","39.226,7.184,-24.23,0.332,-2.572,1.694","38.692,-18.414,-13.9,0.264,-2.562,1.79","28.124,-29.916,-11.788,0.108,-2.486,2.0","13.524,-15.068,-11.188,-0.248,-2.388,2.254","-4.006,-8.732,-17.16,-0.658,-2.228,2.444","-1.856,-21.268,-11.898,-1.166,-2.01,2.558","7.868,-23.722,-3.296,-1.322,-1.952,2.656","7.43,-15.716,0.708,-0.95,-2.102,2.75","2.972,-15.65,1.946,-0.34,-2.318,2.71","2.018,-21.068,2.486,0.248,-2.628,2.646","4.472,-20.402,4.77,0.67,-2.984,2.72","4.35,-16.762,4.9,0.898,-3.094,2.8","1.84,-14.444,4.512,0.754,-2.882,2.766"
